name,album,Attribute,Value
All You Had To Do Was Stay,1989,danceability,0.602
All You Had To Do Was Stay,1989,duration_ms,193293
All You Had To Do Was Stay,1989,popularity,53
All You Had To Do Was Stay,1989,tempo,96.969
Bad Blood,1989,danceability,0.652
Bad Blood,1989,duration_ms,211933
Bad Blood,1989,popularity,71
Bad Blood,1989,tempo,170.157
Blank Space,1989,danceability,0.752
Blank Space,1989,duration_ms,231826
Blank Space,1989,popularity,60
Blank Space,1989,tempo,96.009
Clean,1989,danceability,0.81
Clean,1989,duration_ms,271000
Clean,1989,popularity,42
Clean,1989,tempo,103.981
How You Get The Girl,1989,danceability,0.764
How You Get The Girl,1989,duration_ms,247533
How You Get The Girl,1989,popularity,43
How You Get The Girl,1989,tempo,119.982
I Know Places,1989,danceability,0.595
I Know Places,1989,duration_ms,195706
I Know Places,1989,popularity,43
I Know Places,1989,tempo,159.959
I Wish You Would,1989,danceability,0.649
I Wish You Would,1989,duration_ms,207440
I Wish You Would,1989,popularity,42
I Wish You Would,1989,tempo,118.027
Out Of The Woods,1989,danceability,0.552
Out Of The Woods,1989,duration_ms,235800
Out Of The Woods,1989,popularity,46
Out Of The Woods,1989,tempo,91.993
Shake It Off,1989,danceability,0.648
Shake It Off,1989,duration_ms,219200
Shake It Off,1989,popularity,53
Shake It Off,1989,tempo,160.02
Style,1989,danceability,0.598
Style,1989,duration_ms,231000
Style,1989,popularity,56
Style,1989,tempo,95.021
This Love,1989,danceability,0.485
This Love,1989,duration_ms,250093
This Love,1989,popularity,42
This Love,1989,tempo,71.981
Welcome To New York,1989,danceability,0.793
Welcome To New York,1989,duration_ms,212600
Welcome To New York,1989,popularity,59
Welcome To New York,1989,tempo,117.023
Wildest Dreams,1989,danceability,0.553
Wildest Dreams,1989,duration_ms,220440
Wildest Dreams,1989,popularity,75
Wildest Dreams,1989,tempo,140.06
‘tis the damn season,evermore,danceability,0.575
‘tis the damn season,evermore,duration_ms,229840
‘tis the damn season,evermore,popularity,65
‘tis the damn season,evermore,tempo,145.916
champagne problems,evermore,danceability,0.462
champagne problems,evermore,duration_ms,244000
champagne problems,evermore,popularity,77
champagne problems,evermore,tempo,171.319
closure,evermore,danceability,0.689
closure,evermore,duration_ms,180653
closure,evermore,popularity,59
closure,evermore,tempo,151.884
coney island (feat. The National),evermore,danceability,0.537
coney island (feat. The National),evermore,duration_ms,275320
coney island (feat. The National),evermore,popularity,61
coney island (feat. The National),evermore,tempo,107.895
cowboy like me,evermore,danceability,0.604
cowboy like me,evermore,duration_ms,275040
cowboy like me,evermore,popularity,65
cowboy like me,evermore,tempo,127.967
dorothea,evermore,danceability,0.605
dorothea,evermore,duration_ms,225880
dorothea,evermore,popularity,62
dorothea,evermore,tempo,119.966
evermore (feat. Bon Iver),evermore,danceability,0.39
evermore (feat. Bon Iver),evermore,duration_ms,304106
evermore (feat. Bon Iver),evermore,popularity,63
evermore (feat. Bon Iver),evermore,tempo,125.177
gold rush,evermore,danceability,0.512
gold rush,evermore,duration_ms,185320
gold rush,evermore,popularity,67
gold rush,evermore,tempo,112.05
happiness,evermore,danceability,0.559
happiness,evermore,duration_ms,315146
happiness,evermore,popularity,64
happiness,evermore,tempo,122.079
ivy,evermore,danceability,0.515
ivy,evermore,duration_ms,260440
ivy,evermore,popularity,66
ivy,evermore,tempo,88.856
long story short,evermore,danceability,0.546
long story short,evermore,duration_ms,215920
long story short,evermore,popularity,62
long story short,evermore,tempo,157.895
marjorie,evermore,danceability,0.535
marjorie,evermore,duration_ms,257773
marjorie,evermore,popularity,70
marjorie,evermore,tempo,96.103
"no body, no crime (feat. HAIM)",evermore,danceability,0.546
"no body, no crime (feat. HAIM)",evermore,duration_ms,215626
"no body, no crime (feat. HAIM)",evermore,popularity,66
"no body, no crime (feat. HAIM)",evermore,tempo,79.015
tolerate it,evermore,danceability,0.316
tolerate it,evermore,duration_ms,245440
tolerate it,evermore,popularity,72
tolerate it,evermore,tempo,74.952
willow,evermore,danceability,0.392
willow,evermore,duration_ms,214706
willow,evermore,popularity,77
willow,evermore,tempo,81.112
august,folklore,danceability,0.532
august,folklore,duration_ms,261922
august,folklore,popularity,84
august,folklore,tempo,89.937
