Name,Age,Team,League,Games_Played,Plate_Appearances,At_Bats,Hits,Home_Runs,RBIs,Walks,Strike_Outs,Batting_Average,Onbase_Percentage,Slugging
Eric Hosmer,33,CHC,NL,31,100,94,22,2,14,6,25,0.234,0.28,0.33
Cade Marlowe,26,SEA,AL,34,100,88,21,3,11,12,33,0.239,0.33,0.42
José Azocar,27,SDP,NL,55,102,91,21,2,9,4,24,0.231,0.278,0.363
Dominic Fletcher,25,ARI,NL,28,102,93,28,2,14,7,22,0.301,0.35,0.441
Richie Palacios,26,STL,NL,32,102,93,24,6,16,6,11,0.258,0.307,0.516
Jonathan Aranda,25,TBR,AL,34,103,87,20,2,13,13,31,0.23,0.34,0.368
Everson Pereira,22,NYY,AL,27,103,93,14,0,10,8,40,0.151,0.233,0.194
Jonathan Davis,31,MIA,NL,34,104,90,22,2,10,7,29,0.244,0.307,0.378
René Pinto,26,TBR,AL,38,105,103,26,6,16,2,34,0.252,0.267,0.456
Jon Singleton,31,TOT,MLB,36,105,91,15,2,12,13,23,0.165,0.267,0.264
Jonah Bride,27,OAK,AL,40,106,88,15,0,7,11,22,0.17,0.286,0.205
Jace Peterson,33,ARI,NL,41,106,93,17,0,9,11,24,0.183,0.276,0.258
Alfonso Rivas III,26,PIT,NL,40,106,94,22,3,14,7,29,0.234,0.305,0.436
Sam Haggerty,29,SEA,AL,52,108,91,23,1,5,15,17,0.253,0.364,0.341
Ronny Mauricio,22,NYM,NL,26,108,101,25,2,9,7,31,0.248,0.296,0.347
Raimel Tapia,29,TOT,AL,44,108,96,26,1,10,11,20,0.271,0.346,0.365
Luis Urías,26,BOS,AL,32,109,89,20,2,13,14,26,0.225,0.361,0.337
Tyler Nevin,26,DET,AL,41,111,95,19,2,10,12,25,0.2,0.306,0.316
Yu Chang,27,BOS,AL,39,112,105,17,6,18,3,34,0.162,0.2,0.352
Alika Williams,24,PIT,NL,46,112,101,20,0,6,9,35,0.198,0.27,0.248
Jackie Bradley Jr.,33,KCR,AL,43,113,105,14,1,6,5,29,0.133,0.188,0.21
David Fry,27,CLE,AL,57,113,101,24,4,15,8,30,0.238,0.319,0.416
Josh Harrison,35,PHI,NL,40,114,103,21,2,10,3,20,0.204,0.263,0.291
Jesús Aguilar,33,OAK,AL,36,115,104,23,5,9,8,31,0.221,0.281,0.385
Jared Walsh,29,LAA,AL,39,116,104,13,4,11,11,45,0.125,0.216,0.279
Jiman Choi,32,TOT,NL,39,117,104,17,6,13,10,35,0.163,0.239,0.385
Avisaíl García,32,MIA,NL,37,118,108,20,3,12,6,39,0.185,0.241,0.315
Josh Donaldson,37,NYY,AL,33,120,106,15,10,15,12,32,0.142,0.225,0.434
Eduardo Escobar,34,NYM,NL,40,120,110,26,4,16,8,24,0.236,0.286,0.409
Luis Guillorme,28,NYM,NL,54,120,107,24,1,9,10,28,0.224,0.288,0.327
José Herrera,26,ARI,NL,41,120,101,21,0,7,13,30,0.208,0.296,0.257
Jacob Young,23,WSN,NL,33,121,107,27,0,12,10,22,0.252,0.322,0.336
Tucker Barnhart,32,CHC,NL,43,123,109,22,1,9,12,42,0.202,0.285,0.257
Noelvi Marte,21,CIN,NL,35,123,114,36,3,15,8,25,0.316,0.366,0.456
Alfonso Rivas III,26,TOT,NL,48,123,109,25,3,15,9,36,0.229,0.303,0.422
Garrett Stubbs,30,PHI,NL,41,125,113,23,1,12,9,29,0.204,0.274,0.283
Víctor Robles,26,WSN,NL,36,126,107,32,0,8,11,18,0.299,0.385,0.364
Nick Gonzales,24,PIT,NL,35,128,115,24,2,13,6,36,0.209,0.268,0.348
Lawrence Butler,22,OAK,AL,42,129,123,26,4,10,4,35,0.211,0.24,0.341
Brett Wisely,24,SFG,NL,51,131,120,21,2,8,9,40,0.175,0.231,0.267
Austin Wynns,32,COL,NL,45,131,117,25,1,8,8,32,0.214,0.273,0.282
Nolan Schanuel,21,LAA,AL,29,132,109,30,1,6,20,19,0.275,0.402,0.33
Garrett Cooper,32,SDP,NL,41,133,117,28,4,15,14,35,0.239,0.323,0.402
Amed Rosario,27,LAD,NL,48,133,125,32,3,18,7,22,0.256,0.301,0.408
Josh Rojas,29,SEA,AL,46,134,125,34,4,14,9,30,0.272,0.321,0.4
Mike Moustakas,34,COL,NL,47,136,115,31,4,17,17,34,0.27,0.36,0.435
Rafael Ortega,32,NYM,NL,47,136,114,25,1,8,20,33,0.219,0.341,0.272
Masyn Winn,21,STL,NL,37,137,122,21,2,12,10,26,0.172,0.23,0.238
Dairon Blanco,30,KCR,AL,69,138,124,32,3,18,10,33,0.258,0.324,0.452
AJ Pollock,35,SEA,AL,49,138,127,22,5,15,9,30,0.173,0.225,0.323
Tyler Soderstrom,21,OAK,AL,45,138,125,20,3,7,11,43,0.16,0.232,0.24
Matthew Batten,28,SDP,NL,43,139,120,31,2,11,17,30,0.258,0.355,0.358
Ryan McKenna,26,BAL,AL,88,139,122,31,2,18,9,40,0.254,0.316,0.361
David Villar,26,SFG,NL,46,140,124,18,5,12,11,45,0.145,0.236,0.315
Mike Zunino,32,CLE,AL,42,140,124,22,3,11,15,61,0.177,0.271,0.306
Dominic Canzone,25,SEA,AL,44,141,135,29,5,13,6,24,0.215,0.248,0.407
Wil Myers,32,CIN,NL,37,141,127,24,3,12,12,48,0.189,0.257,0.283
Davis Schneider,24,TOR,AL,35,141,116,32,8,20,21,43,0.276,0.404,0.603
AJ Pollock,35,TOT,MLB,54,144,133,22,5,15,9,32,0.165,0.215,0.308
Parker Meadows,23,DET,AL,37,145,125,29,3,13,17,37,0.232,0.331,0.368
Austin Wynns,32,TOT,NL,51,145,130,27,1,10,9,39,0.208,0.268,0.277
Omar Narváez,31,NYM,NL,49,146,128,27,2,7,14,27,0.211,0.283,0.297
Kevin Smith,26,OAK,AL,49,146,135,25,5,11,5,51,0.185,0.22,0.326
Billy McKinney,28,NYY,AL,48,147,128,29,6,14,17,39,0.227,0.32,0.406
Nelson Velázquez,24,KCR,AL,40,147,133,31,14,28,11,43,0.233,0.299,0.579
Kody Clemens,27,PHI,NL,47,148,139,32,4,13,8,40,0.23,0.277,0.367
Jose Barrero,25,CIN,NL,46,149,133,29,2,17,15,44,0.218,0.295,0.323
Willie Calhoun,28,NYY,AL,44,149,134,32,5,16,14,20,0.239,0.309,0.403
Cam Gallagher,30,CLE,AL,56,149,143,18,0,7,4,46,0.126,0.154,0.168
Miles Mastrobuoni,27,CHC,NL,60,149,133,32,1,5,13,32,0.241,0.308,0.301
Enmanuel Valdez,24,BOS,AL,49,149,139,37,6,19,8,37,0.266,0.311,0.453
Carson Kelly,28,TOT,MLB,50,151,136,28,2,13,14,40,0.206,0.278,0.287
Jonathan Schoop,31,DET,AL,55,151,136,29,0,7,13,37,0.213,0.278,0.272
Nelson Cruz,42,SDP,NL,49,152,143,35,5,23,6,46,0.245,0.283,0.399
Corey Dickerson,34,WSN,NL,50,152,144,36,2,17,7,28,0.25,0.283,0.354
José Miranda,25,MIN,AL,40,152,142,30,3,13,9,24,0.211,0.263,0.303
Michael Toglia,24,COL,NL,45,152,141,23,4,9,10,50,0.163,0.224,0.284
Austin Nola,33,SDP,NL,52,154,130,19,1,8,18,31,0.146,0.26,0.192
Miguel Amaya,24,CHC,NL,53,156,131,28,5,18,12,40,0.214,0.329,0.359
Jeimer Candelario,29,CHC,NL,41,157,137,32,6,17,17,39,0.234,0.318,0.445
Rougned Odor,29,SDP,NL,59,157,138,28,4,18,17,37,0.203,0.299,0.355
Riley Adams,27,WSN,NL,44,158,143,39,4,21,11,45,0.273,0.331,0.476
Ramón Laureano,28,CLE,AL,41,158,136,33,3,14,16,41,0.243,0.342,0.382
Tom Murphy,32,SEA,AL,47,159,145,42,8,17,10,44,0.29,0.335,0.538
Francisco Mejia,27,TBR,AL,50,160,150,34,5,19,6,38,0.227,0.258,0.4
Zach Remillard,29,CHW,AL,54,160,147,37,1,18,8,48,0.252,0.295,0.32
Johan Rojas,22,PHI,NL,59,164,149,45,2,23,5,42,0.302,0.342,0.43
Dylan Moore,30,SEA,AL,67,165,145,30,7,19,16,56,0.207,0.303,0.428
Tyler Freeman,24,CLE,AL,64,168,153,37,4,18,10,30,0.242,0.295,0.366
Blake Perkins,26,MIL,NL,67,168,143,31,4,20,23,46,0.217,0.325,0.35
Trevor Story,30,BOS,AL,43,168,158,32,3,14,9,55,0.203,0.25,0.316
Jose Trevino,30,NYY,AL,55,168,157,33,4,15,8,22,0.21,0.257,0.312
Raimel Tapia,29,TOT,MLB,64,169,148,35,3,13,17,40,0.236,0.317,0.338
Chad Wallach,31,LAA,AL,65,172,157,31,7,15,13,57,0.197,0.259,0.376
Lenyn Sosa,23,CHW,AL,52,173,164,33,6,14,5,40,0.201,0.224,0.348
Kole Calhoun,35,CLE,AL,43,174,157,34,6,25,13,37,0.217,0.282,0.376
Luis Campusano,24,SDP,NL,49,174,163,52,7,30,7,21,0.319,0.356,0.491
Jake Alu,26,WSN,NL,51,175,159,36,2,16,10,42,0.226,0.282,0.289
Seby Zavala,29,CHW,AL,66,176,161,25,7,16,10,68,0.155,0.207,0.304
Luis Urías,26,TOT,MLB,52,177,144,28,3,18,21,41,0.194,0.337,0.299
Trayce Thompson,32,TOT,MLB,72,179,153,25,6,17,24,77,0.163,0.285,0.294
Nelson Velázquez,24,TOT,MLB,53,179,162,38,17,34,14,51,0.235,0.302,0.586
